prefecture,project_name,url,notes
静岡県,VIRTUAL SHIZUOKA,https://www.geospatial.jp/ckan/dataset/virtual-shizuoka-mw,
静岡県,VIRTUAL SHIZUOKA — 静岡東部,https://www.geospatial.jp/ckan/dataset/shizuoka-2021-pointcloud,
静岡県,VIRTUAL SHIZUOKA — 南東部/伊豆東部,https://www.geospatial.jp/ckan/dataset/shizuoka-2019-pointcloud,
静岡県,VIRTUAL SHIZUOKA — 伊豆西部,https://www.geospatial.jp/ckan/dataset/shizuoka-2020-pointcloud,
静岡県,熱海市土石流災害ALB,https://www.geospatial.jp/ckan/dataset/20210703-atami-dronealb,
神奈川県,県内3D点群2022,https://www.geospatial.jp/ckan/dataset/kanagawa-2022-pointcloud,
神奈川県,相模原3D点群,https://www.geospatial.jp/ckan/dataset/kanagawa-2020-2-pointcloud,
神奈川県,県央部3D点群,https://www.geospatial.jp/ckan/dataset/kanagawa-2020-1-pointcloud,
神奈川県,県西部3D点群,https://www.geospatial.jp/ckan/dataset/kanagawa-2019-pointcloud,
神奈川県,南部3D点群,https://www.geospatial.jp/ckan/dataset/kanagawa-2021-pointcloud,
東京都,デジタルツイン実現プロジェクト,G空間情報センター経由,
和歌山県,県域点群65%,https://www.pref.wakayama.lg.jp/prefg/012100/d00213012.html,
長崎県,オープンナガサキ,https://opennagasaki.nerc.or.jp/,
広島県,DOBOX2022,https://hiroshima-dobox.jp/,
大阪府,岸和田城点群,https://www.geospatial.jp/ckan/dataset/kishiwada-castle,
